,county,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,stateFIPS,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
583,Jefferson County          ,519.8 ,262,stable,0.0 ,17,491.3, 549.7,-6.8, 7.3
584,Williamson County          ,519.5 ,455,stable,2.0 ,17,497.8, 541.8,-0.9, 4.9
585,Union County          ,517.9 ,129,stable,-1.7 ,17,477.3, 561.4,-12.0, 9.9
586,La Salle County          ,516.9 ,759,stable,0.0 ,17,500.1, 534.2,-3.1, 3.2
587,Vermilion County          ,512.1 ,534,stable,-1.6 ,17,492.3, 532.6,-4.0, 0.8
588,White County          ,507.2 ,109,stable,2.5 ,17,463.7, 554.2,-8.2, 14.5
589,Kendall County          ,507.0 ,512,stable,-0.6 ,17,486.7, 527.9,-4.7, 3.8
590,Douglas County          ,504.8 ,124,stable,-1.4 ,17,464.8, 547.5,-9.6, 7.5
591,Pope County          ,504.6 ,34,stable,3.9 ,17,424.1, 598.1,-11.9, 22.7
592,Pike County          ,504.2 ,113,stable,6.2 ,17,461.7, 550.0,-6.9, 21.2
593,Ford County          ,504.2 ,94,stable,2.4 ,17,458.0, 554.1,-8.4, 14.5
594,Bureau County          ,502.3 ,241,stable,2.9 ,17,473.1, 532.9,-6.9, 13.7
595,Saline County          ,501.3 ,168,stable,-2.1 ,17,466.8, 537.9,-8.6, 5.0
596,Tazewell County          ,500.8 ,862,stable,-0.3 ,17,485.6, 516.4,-3.9, 3.5
597,Marshall County          ,500.6 ,92,stable,4.1 ,17,453.8, 551.4,-12.3, 23.6
598,Calhoun County          ,500.2 ,37,stable,-0.1 ,17,426.1, 584.7,-21.2, 26.8
599,Macoupin County          ,497.4 ,318,stable,3.6 ,17,472.4, 523.5,-1.9, 9.3
600,Bond County          ,497.4 ,110,stable,-0.2 ,17,455.8, 542.0,-11.3, 12.3
601,Montgomery County          ,497.0 ,199,stable,3.9 ,17,465.7, 530.0,-6.2, 15.1
602,Schuyler County          ,497.0 ,53,rising,10.3 ,17,437.0, 563.8,0.6, 20.9
603,Lee County          ,496.2 ,234,stable,-1.8 ,17,467.4, 526.5,-7.8, 4.5
604,DeKalb County          ,496.1 ,483,stable,-1.0 ,17,476.1, 516.7,-3.6, 1.8
605,Richland County          ,496.1 ,109,stable,-1.0 ,17,453.8, 541.5,-9.1, 7.8
606,Piatt County          ,494.9 ,111,stable,-0.7 ,17,453.2, 539.7,-6.7, 5.8
607,Peoria County          ,494.3 ,"1,082",stable,-0.3 ,17,480.9, 508.0,-3.8, 3.3
608,Kankakee County          ,494.2 ,646,stable,5.1 ,17,476.9, 511.9,-1.7, 12.4
609,Will County          ,491.9 ,"3,335",stable,0.4 ,17,484.3, 499.7,-1.7, 2.6
610,Effingham County          ,491.3 ,209,stable,-2.4 ,17,461.2, 522.9,-9.7, 5.6
611,Randolph County          ,489.6 ,214,stable,1.7 ,17,460.0, 520.8,-4.5, 8.3
612,McDonough County          ,487.8 ,174,rising,4.7 ,17,454.4, 523.2,1.4, 8.1
613,Washington County          ,487.6 ,96,stable,0.0 ,17,443.8, 535.0,-14.1, 16.5
614,Madison County          ,487.3 ,"1,593",stable,-0.8 ,17,476.4, 498.4,-3.5, 2.0
615,Jasper County          ,487.1 ,65,stable,-7.8 ,17,433.7, 545.8,-23.3, 10.7
616,Mason County          ,485.2 ,100,stable,1.8 ,17,441.7, 532.3,-10.9, 16.3
617,Warren County          ,483.0 ,107,stable,3.0 ,17,441.1, 527.9,-12.5, 21.1
618,Moultrie County          ,480.9 ,90,stable,0.5 ,17,435.8, 529.6,-11.1, 13.6
619,Perry County          ,478.2 ,132,stable,2.6 ,17,441.7, 517.2,-13.2, 21.2
620,Mercer County          ,477.6 ,109,stable,-2.6 ,17,436.6, 521.7,-11.5, 7.2
621,Henry County          ,476.5 ,326,stable,1.7 ,17,452.8, 501.1,-0.4, 3.7
622,Winnebago County          ,475.9 ,"1,668",stable,-0.5 ,17,465.5, 486.5,-2.7, 1.8
623,St. Clair County          ,475.5 ,"1,439",stable,0.3 ,17,464.3, 486.8,-4.0, 4.7
624,Crawford County          ,475.4 ,124,stable,0.8 ,17,437.8, 515.5,-3.8, 5.6
625,Shelby County          ,475.1 ,153,stable,-2.5 ,17,440.6, 512.0,-8.0, 3.3
626,Whiteside County          ,474.2 ,373,stable,-0.9 ,17,452.2, 497.2,-7.0, 5.6
627,Stark County          ,473.7 ,38,stable,-7.9 ,17,405.2, 551.4,-26.0, 14.8
628,Wayne County          ,473.3 ,114,stable,0.6 ,17,433.8, 515.8,-7.8, 9.7
629,Iroquois County          ,473.0 ,195,stable,2.0 ,17,442.5, 505.2,-7.3, 12.2
630,Clark County          ,470.3 ,104,stable,2.5 ,17,429.7, 514.1,-3.9, 9.4
631,Fulton County          ,470.2 ,232,stable,3.1 ,17,442.7, 499.1,-5.6, 12.6
632,Clinton County          ,467.0 ,216,stable,1.2 ,17,439.0, 496.4,-6.6, 9.6
633,Gallatin County          ,465.3 ,36,stable,3.7 ,17,395.2, 545.4,-9.7, 19.1
634,Ogle County          ,465.1 ,309,stable,2.3 ,17,441.6, 489.6,-1.3, 6.1
635,Massac County          ,464.1 ,95,stable,-0.5 ,17,421.9, 509.9,-13.2, 14.0
636,Carroll County          ,463.9 ,105,stable,-2.3 ,17,422.0, 509.2,-11.0, 7.2
637,McLean County          ,463.3 ,776,falling,-3.6 ,17,448.5, 478.5,-6.1, -1.1
638,Knox County          ,463.1 ,334,stable,2.0 ,17,440.2, 487.0,-8.1, 13.3
639,Wabash County          ,462.3 ,76,stable,-1.4 ,17,415.3, 513.7,-9.0, 6.8
640,Adams County          ,460.7 ,414,stable,-0.4 ,17,440.2, 481.9,-5.3, 4.7
641,Lawrence County          ,460.0 ,97,stable,-2.4 ,17,419.3, 503.9,-13.4, 10.0
642,Johnson County          ,459.7 ,82,stable,-5.3 ,17,415.1, 508.4,-16.2, 7.0
643,Jo Daviess County          ,458.3 ,168,stable,0.8 ,17,425.4, 493.4,-2.9, 4.6
644,DuPage County          ,458.1 ,"4,796",stable,-0.5 ,17,452.1, 464.1,-2.5, 1.6
645,Hancock County          ,457.9 ,124,rising,4.4 ,17,420.3, 498.2,1.8, 7.1
646,Boone County          ,457.0 ,272,stable,1.7 ,17,432.6, 482.4,-6.5, 10.6
647,Edwards County          ,456.7 ,43,stable,-12.2 ,17,395.5, 525.6,-31.7, 12.8
648,McHenry County          ,456.0 ,"1,512",stable,0.5 ,17,445.4, 466.8,-2.4, 3.5
649,Brown County          ,453.9 ,33,rising,6.1 ,17,386.8, 529.8,0.6, 12.0
650,Rock Island County          ,452.5 ,857,stable,0.8 ,17,438.6, 466.7,-3.2, 5.0
651,Edgar County          ,452.4 ,117,stable,-1.7 ,17,414.9, 492.7,-6.8, 3.5
652,Woodford County          ,451.9 ,220,stable,1.0 ,17,424.8, 480.3,-7.1, 9.8
653,Cook County          ,451.7 ,"25,575",falling,-0.6 ,17,449.2, 454.2,-0.8, -0.3
654,Coles County          ,451.3 ,271,stable,-2.6 ,17,426.9, 476.9,-6.9, 1.9
655,Lake County          ,450.9 ,"3,375",stable,1.2 ,17,443.9, 457.9,-0.7, 3.1
656,Jersey County          ,450.2 ,133,stable,4.4 ,17,415.7, 487.0,-9.8, 20.8
657,Cumberland County          ,449.8 ,65,stable,-5.3 ,17,400.8, 503.6,-13.8, 4.1
658,Monroe County          ,443.5 ,188,stable,-3.0 ,17,414.8, 473.7,-10.6, 5.3
659,Hardin County          ,439.3 ,30,stable,2.2 ,17,367.7, 523.1,-17.6, 26.8
660,Putnam County          ,438.9 ,40,stable,-7.4 ,17,377.8, 508.5,-15.7, 1.8
661,Kane County          ,438.5 ,"2,316",stable,0.4 ,17,430.4, 446.8,-2.2, 3.0
662,Champaign County          ,437.6 ,833,stable,0.0 ,17,424.0, 451.4,-2.2, 2.3
663,Jackson County          ,434.4 ,262,stable,1.3 ,17,410.5, 459.5,-4.8, 7.7
664,Fayette County          ,424.6 ,124,stable,0.2 ,17,391.2, 460.3,-13.9, 16.7
665,Stephenson County          ,421.7 ,282,falling,-1.3 ,17,398.8, 445.6,-2.1, -0.6
666,Henderson County          ,412.8 ,48,stable,0.3 ,17,359.7, 473.0,-10.0, 11.8
667,Morgan County          ,546.1 ,457,stable,1.4 ,18,523.2, 569.7,-2.6, 5.5
668,Shelby County          ,522.3 ,287,stable,5.3 ,18,495.0, 550.9,-2.8, 14.1
669,Jefferson County          ,521.9 ,211,stable,-3.6 ,18,490.1, 555.5,-10.5, 3.8
670,Knox County          ,517.5 ,241,stable,-0.7 ,18,487.8, 548.6,-9.7, 9.1
671,Starke County          ,517.4 ,155,stable,-1.6 ,18,480.5, 556.5,-8.0, 5.3
672,Grant County          ,514.8 ,459,stable,2.1 ,18,493.3, 537.1,-3.5, 7.9
673,Tipton County          ,511.2 ,106,stable,3.0 ,18,466.9, 558.9,-5.8, 12.6
674,Rush County          ,508.8 ,112,stable,0.6 ,18,466.2, 554.4,-10.2, 12.7
675,Blackford County          ,502.3 ,89,stable,-2.5 ,18,455.3, 553.4,-9.8, 5.5
676,Clay County          ,501.3 ,167,stable,-1.2 ,18,467.1, 537.5,-8.9, 7.1
677,Crawford County          ,500.1 ,71,stable,-0.9 ,18,447.1, 558.1,-10.7, 10.0
678,Benton County          ,499.0 ,54,stable,-1.4 ,18,440.1, 564.1,-7.7, 5.3
679,Jennings County          ,496.7 ,161,stable,-2.2 ,18,461.9, 533.5,-8.7, 4.8
680,Jay County          ,493.5 ,130,stable,-0.9 ,18,455.5, 534.1,-4.4, 2.8
681,Putnam County          ,493.3 ,219,stable,2.7 ,18,464.0, 524.1,-7.2, 13.6
682,Vigo County          ,489.6 ,598,stable,-0.9 ,18,471.8, 508.0,-2.6, 0.9
683,Scott County          ,485.2 ,140,stable,1.7 ,18,449.1, 523.7,-6.0, 10.1
684,LaPorte County          ,482.1 ,665,falling,-3.5 ,18,465.4, 499.3,-4.3, -2.7
685,Fountain County          ,481.6 ,109,stable,4.5 ,18,440.7, 525.5,-2.0, 11.4
686,Vermillion County          ,481.3 ,103,stable,-0.3 ,18,439.2, 526.7,-8.6, 8.9
687,Clark County          ,480.1 ,631,stable,-4.9 ,18,463.0, 497.5,-9.9, 0.3
688,Howard County          ,479.3 ,513,rising,4.2 ,18,460.4, 498.9,1.0, 7.5
689,Madison County          ,479.0 ,781,stable,1.0 ,18,463.7, 494.6,-0.3, 2.4
690,Decatur County          ,478.8 ,152,stable,1.9 ,18,444.7, 515.0,-1.5, 5.4
691,Dearborn County          ,476.5 ,295,stable,-1.6 ,18,451.7, 502.3,-11.7, 9.7
692,Hancock County          ,474.8 ,400,stable,-1.1 ,18,453.7, 496.7,-6.3, 4.5
693,Floyd County          ,472.5 ,417,stable,-0.7 ,18,451.8, 493.9,-10.7, 10.4
694,Hendricks County          ,471.8 ,760,rising,1.5 ,18,456.5, 487.4,0.4, 2.7
695,Marion County          ,470.3 ,"4,374",stable,1.8 ,18,463.9, 476.7,-0.5, 4.1
696,Lake County          ,469.2 ,"2,713",stable,-2.4 ,18,461.2, 477.4,-5.3, 0.7
697,Sullivan County          ,469.0 ,124,stable,-0.8 ,18,432.0, 508.6,-10.2, 9.5
698,Delaware County          ,468.9 ,638,stable,1.3 ,18,452.3, 486.0,-5.7, 8.8
699,Pulaski County          ,468.9 ,81,stable,-2.0 ,18,423.2, 518.6,-15.9, 14.2
700,Jackson County          ,468.1 ,241,stable,2.5 ,18,441.6, 495.8,-6.8, 12.8
701,Henry County          ,467.6 ,300,stable,-3.1 ,18,443.8, 492.6,-9.6, 3.8
702,Owen County          ,466.5 ,133,stable,4.6 ,18,430.4, 505.1,-3.0, 12.7
703,Harrison County          ,465.4 ,225,stable,-4.3 ,18,437.8, 494.4,-12.9, 5.0
704,Randolph County          ,464.2 ,161,stable,-2.4 ,18,431.8, 498.7,-14.4, 11.3
705,Vanderburgh County          ,464.2 ,"1,011",stable,0.6 ,18,451.1, 477.6,-5.9, 7.7
706,Johnson County          ,463.8 ,744,stable,2.6 ,18,448.8, 479.2,-2.6, 8.0
707,Lawrence County          ,462.0 ,287,stable,-3.0 ,18,437.7, 487.5,-9.7, 4.2
708,Carroll County          ,461.2 ,122,stable,4.9 ,18,424.1, 500.8,-7.7, 19.2
709,Franklin County          ,461.1 ,132,stable,-4.3 ,18,425.8, 498.8,-12.3, 4.4
710,Clinton County          ,460.5 ,180,stable,2.9 ,18,430.3, 492.4,-7.8, 14.9
711,Wayne County          ,457.9 ,403,falling,-5.7 ,18,437.5, 479.0,-10.3, -0.9
712,Porter County          ,456.0 ,887,stable,-0.9 ,18,442.3, 470.0,-6.3, 4.7
713,Posey County          ,455.5 ,149,stable,-1.9 ,18,422.2, 490.8,-11.5, 8.7
714,White County          ,453.8 ,150,stable,3.7 ,18,420.5, 489.3,-4.1, 12.1
715,Dubois County          ,453.0 ,235,stable,2.3 ,18,426.8, 480.5,-5.3, 10.5
716,Bartholomew County          ,451.8 ,418,stable,-1.6 ,18,432.4, 472.0,-4.7, 1.6
717,Washington County          ,449.8 ,153,stable,-4.2 ,18,417.6, 483.9,-16.2, 9.5
718,Brown County          ,449.7 ,105,stable,-3.2 ,18,409.2, 493.7,-18.2, 14.5
719,Jasper County          ,448.8 ,180,stable,-0.7 ,18,419.3, 479.9,-4.1, 2.9
720,Greene County          ,447.9 ,197,stable,1.2 ,18,419.6, 477.7,-11.4, 15.5
721,Pike County          ,446.7 ,78,stable,3.7 ,18,402.3, 495.3,-17.7, 30.7
722,Wabash County          ,446.1 ,196,stable,4.5 ,18,417.5, 476.4,-3.0, 12.5
723,Orange County          ,445.5 ,116,stable,-1.2 ,18,408.9, 484.8,-19.3, 20.9
724,Boone County          ,444.8 ,292,stable,3.3 ,18,421.8, 468.8,-0.7, 7.5
725,Hamilton County          ,444.7 ,"1,259",stable,0.6 ,18,433.4, 456.3,-4.7, 6.3
726,Ripley County          ,443.9 ,156,stable,3.0 ,18,412.5, 477.2,-12.4, 21.2
727,Warrick County          ,443.2 ,328,stable,-1.6 ,18,421.4, 465.9,-11.3, 9.2
728,Gibson County          ,443.2 ,187,stable,2.5 ,18,414.6, 473.4,-1.4, 6.5
729,Monroe County          ,440.9 ,573,stable,-1.0 ,18,424.5, 457.8,-6.5, 4.8
730,Spencer County          ,434.1 ,119,stable,-5.2 ,18,398.7, 472.1,-14.5, 5.1
731,Cass County          ,432.1 ,209,stable,-3.2 ,18,405.7, 459.8,-12.8, 7.5
732,Fulton County          ,431.0 ,116,falling,-5.0 ,18,395.7, 468.8,-9.0, -0.8
733,Daviess County          ,430.8 ,159,stable,5.9 ,18,400.8, 462.6,-0.1, 12.2
734,Allen County          ,429.8 ,"1,690",stable,-0.3 ,18,420.4, 439.3,-2.3, 1.7
735,Elkhart County          ,428.9 ,924,stable,-1.5 ,18,416.4, 441.7,-3.3, 0.4
736,Warren County          ,427.7 ,50,stable,4.2 ,18,374.9, 486.7,-9.8, 20.4
737,Kosciusko County          ,425.8 ,388,stable,-1.9 ,18,406.7, 445.7,-4.9, 1.2
738,Huntington County          ,425.3 ,192,stable,1.2 ,18,398.1, 453.9,-2.8, 5.4
739,Wells County          ,424.8 ,152,rising,2.6 ,18,394.1, 457.3,0.2, 5.0
740,Newton County          ,424.6 ,79,stable,-2.1 ,18,382.5, 470.4,-10.4, 6.9
741,Tippecanoe County          ,422.4 ,664,stable,0.0 ,18,407.8, 437.4,-4.9, 5.1
742,Adams County          ,422.2 ,163,stable,0.3 ,18,392.9, 453.1,-7.5, 8.8
743,Union County          ,421.8 ,40,stable,1.2 ,18,363.7, 487.1,-7.1, 10.2
744,Fayette County          ,420.9 ,133,stable,-3.6 ,18,388.6, 455.3,-9.8, 3.0
745,St. Joseph County          ,420.4 ,"1,279",stable,-2.8 ,18,409.8, 431.1,-10.4, 5.4
746,Switzerland County          ,418.7 ,54,stable,-5.3 ,18,369.3, 473.3,-20.7, 13.0
747,Marshall County          ,418.5 ,240,falling,-8.0 ,18,394.6, 443.6,-13.7, -1.9
748,Montgomery County          ,417.7 ,201,stable,3.2 ,18,391.7, 445.1,-6.0, 13.3
749,Martin County          ,415.4 ,59,stable,-8.6 ,18,368.3, 467.4,-18.5, 2.5
750,DeKalb County          ,414.6 ,209,stable,-4.8 ,18,389.3, 441.3,-12.7, 3.8
751,Parke County          ,413.7 ,92,stable,2.9 ,18,375.5, 455.0,-2.6, 8.6
752,Whitley County          ,412.2 ,173,stable,-2.1 ,18,384.3, 441.6,-11.3, 8.0
753,Noble County          ,411.4 ,219,stable,-1.3 ,18,386.6, 437.3,-4.2, 1.7
754,Miami County          ,408.0 ,185,stable,2.0 ,18,381.6, 435.8,-2.6, 6.9
755,Ohio County          ,407.3 ,36,stable,-9.8 ,18,347.2, 476.0,-22.7, 5.4
756,Steuben County          ,390.9 ,177,stable,-3.9 ,18,364.6, 418.7,-16.3, 10.4
757,Perry County          ,383.1 ,96,stable,-4.9 ,18,348.7, 420.1,-19.0, 11.5
758,LaGrange County          ,360.1 ,135,stable,-0.7 ,18,332.8, 388.9,-10.7, 10.4
759,"Palo Alto County          7,8",593.2 ,75,stable,11.4 ,19,530.2, 661.9,-1.1, 25.5
760,"Decatur County          7,8",560.6 ,57,stable,0.5 ,19,493.8, 634.5,-0.2, 1.2
761,"Dickinson County          7,8",555.9 ,153,stable,0.4 ,19,514.1, 600.6,-0.1, 0.9
762,"Cerro Gordo County          7,8",541.7 ,336,rising,0.5 ,19,514.7, 569.9,0.1, 0.8
763,"Greene County          7,8",537.8 ,73,rising,1.1 ,19,480.7, 600.5,0.1, 2.0
764,"Monona County          7,8",532.4 ,76,stable,0.4 ,19,475.8, 594.7,-0.3, 1.0
765,"Adams County          7,8",525.1 ,30,rising,1.5 ,19,438.2, 625.8,0.7, 2.3
766,"Floyd County          7,8",521.3 ,118,stable,0.2 ,19,477.9, 567.9,-0.5, 0.8
767,"Page County          7,8",519.6 ,123,rising,0.7 ,19,477.6, 564.7,0.1, 1.3
768,"Van Buren County          7,8",519.0 ,56,stable,0.2 ,19,457.2, 587.6,-0.4, 0.9
769,"Carroll County          7,8",518.8 ,149,stable,7.3 ,19,480.2, 559.9,-0.2, 15.4
770,"Emmet County          7,8",517.9 ,70,stable,0.1 ,19,461.6, 579.5,-0.5, 0.8
771,"Montgomery County          7,8",512.0 ,78,stable,0.3 ,19,459.5, 569.3,-0.2, 0.8
772,"Franklin County          7,8",510.9 ,75,rising,1.0 ,19,457.6, 569.1,0.4, 1.6
773,"Muscatine County          7,8",510.7 ,259,stable,0.1 ,19,482.6, 540.1,-0.3, 0.5
774,"Wapello County          7,8",510.5 ,236,stable,0.2 ,19,480.9, 541.5,-0.2, 0.5
775,"Calhoun County          7,8",507.3 ,75,rising,0.7 ,19,453.7, 566.0,0.2, 1.3
776,"Hardin County          7,8",507.0 ,130,stable,0.9 ,19,466.5, 550.5,-0.2, 2.0
777,"Des Moines County          7,8",506.6 ,280,stable,0.1 ,19,479.4, 535.1,-0.3, 0.6
778,"Butler County          7,8",506.1 ,107,stable,-0.3 ,19,461.4, 554.3,-0.7, 0.2
779,"Clarke County          7,8",505.6 ,60,stable,0.7 ,19,448.4, 568.6,-0.2, 1.6
780,"Jackson County          7,8",500.4 ,136,stable,0.3 ,19,462.0, 541.4,-0.3, 0.8
781,"Tama County          7,8",499.5 ,119,stable,0.1 ,19,458.3, 543.6,-0.4, 0.6
782,"Dubuque County          7,8",499.4 ,589,stable,-0.3 ,19,481.0, 518.3,-0.5, 0.0
783,"Mills County          7,8",499.3 ,96,stable,-0.2 ,19,453.7, 548.4,-0.8, 0.4
784,"Ringgold County          7,8",495.1 ,38,stable,0.7 ,19,421.6, 579.2,-0.3, 1.7
785,"Hamilton County          7,8",493.7 ,105,stable,-0.1 ,19,450.5, 540.4,-0.6, 0.4
786,"Cedar County          7,8",493.4 ,119,stable,-0.8 ,19,452.9, 536.7,-2.0, 0.4
787,"Monroe County          7,8",487.6 ,54,stable,0.4 ,19,429.7, 551.9,-0.1, 1.0
788,"Black Hawk County          7,8",487.1 ,729,stable,-0.3 ,19,470.9, 503.7,-0.5, 0.0
789,"Cass County          7,8",486.7 ,99,stable,0.3 ,19,442.6, 534.5,-0.3, 0.9
790,"Ida County          7,8",486.6 ,52,stable,0.6 ,19,426.3, 553.9,-0.2, 1.3
791,"Henry County          7,8",485.6 ,125,stable,0.3 ,19,447.2, 526.7,-0.4, 0.9
792,"Marion County          7,8",485.6 ,201,stable,0.4 ,19,455.3, 517.5,0.0, 0.7
793,"Marshall County          7,8",485.3 ,252,stable,-0.2 ,19,457.9, 514.0,-0.5, 0.1
794,"Shelby County          7,8",483.8 ,87,rising,0.9 ,19,436.6, 535.2,0.3, 1.5
795,"Lee County          7,8",483.2 ,232,stable,0.1 ,19,454.7, 513.1,-0.2, 0.5
796,"Fayette County          7,8",482.6 ,142,stable,-0.1 ,19,445.9, 521.8,-0.5, 0.2
797,"Scott County          7,8",482.1 ,945,falling,-1.7 ,19,468.1, 496.4,-3.0, -0.4
798,"Clinton County          7,8",481.8 ,310,stable,-0.2 ,19,457.3, 507.4,-0.5, 0.1
799,"Woodbury County          7,8",481.8 ,542,stable,-0.2 ,19,463.4, 500.7,-0.5, 0.1
800,"Linn County          7,8",480.0 ,"1,178",stable,1.7 ,19,467.6, 492.7,-0.9, 4.5
801,"Buchanan County          7,8",479.9 ,124,stable,-0.3 ,19,441.9, 520.5,-0.9, 0.2
802,"Clay County          7,8",479.1 ,112,stable,0.0 ,19,438.3, 523.0,-0.5, 0.4
803,"Pocahontas County          7,8",478.1 ,53,stable,0.0 ,19,418.5, 544.9,-0.6, 0.6
804,"Story County          7,8",476.9 ,386,stable,0.2 ,19,455.3, 499.2,-0.2, 0.5
805,"Grundy County          7,8",476.5 ,85,stable,0.4 ,19,430.7, 526.3,-0.4, 1.1
806,"O'Brien County          7,8",476.2 ,97,stable,-0.2 ,19,432.1, 524.0,-0.8, 0.4
807,"Fremont County          7,8",476.2 ,52,stable,-0.4 ,19,416.2, 543.3,-1.1, 0.4
808,"Delaware County          7,8",475.6 ,109,stable,0.4 ,19,434.9, 519.4,-0.2, 0.9
809,"Washington County          7,8",474.5 ,137,stable,0.5 ,19,438.3, 513.1,0.0, 1.0
810,"Boone County          7,8",473.7 ,164,stable,-0.1 ,19,440.8, 508.7,-0.7, 0.5
811,"Hancock County          7,8",473.7 ,79,stable,0.6 ,19,425.6, 526.2,-0.2, 1.5
812,"Pottawattamie County          7,8",471.1 ,537,falling,-0.7 ,19,453.0, 489.8,-1.3, -0.1
813,"Harrison County          7,8",470.1 ,91,stable,-0.2 ,19,426.0, 517.8,-0.9, 0.5
814,"Johnson County          7,8",469.8 ,580,stable,0.1 ,19,452.3, 487.8,-0.2, 0.4
815,"Plymouth County          7,8",468.8 ,155,stable,-0.1 ,19,435.0, 504.6,-0.6, 0.3
816,"Winnebago County          7,8",466.7 ,71,stable,0.5 ,19,416.6, 521.7,-0.2, 1.3
817,"Polk County          7,8",466.4 ,"2,150",falling,-0.2 ,19,457.4, 475.5,-0.4, -0.1
818,"Webster County          7,8",465.9 ,228,falling,-0.5 ,19,438.4, 494.9,-0.8, -0.2
819,"Jones County          7,8",465.0 ,130,stable,-0.4 ,19,428.5, 504.0,-0.8, 0.1
820,"Humboldt County          7,8",464.5 ,65,stable,-0.3 ,19,412.9, 521.5,-0.9, 0.4
821,"Iowa County          7,8",462.9 ,99,stable,0.3 ,19,421.4, 507.6,-0.6, 1.1
822,"Keokuk County          7,8",462.7 ,70,stable,-0.3 ,19,412.9, 517.4,-0.9, 0.3
823,"Guthrie County          7,8",462.4 ,75,stable,-0.2 ,19,413.9, 515.6,-0.7, 0.3
824,"Kossuth County          7,8",462.0 ,111,stable,0.2 ,19,422.0, 505.3,-0.3, 0.7
825,"Warren County          7,8",461.7 ,258,stable,0.2 ,19,436.4, 488.2,-0.2, 0.6
826,"Benton County          7,8",460.3 ,153,stable,-0.4 ,19,427.3, 495.3,-0.9, 0.1
827,"Crawford County          7,8",458.3 ,98,stable,-0.1 ,19,417.4, 502.2,-0.7, 0.5
828,"Sac County          7,8",455.2 ,69,stable,0.2 ,19,405.2, 510.4,-0.5, 0.8
829,"Jasper County          7,8",452.7 ,222,stable,-0.2 ,19,425.6, 481.1,-0.6, 0.2
830,"Osceola County          7,8",452.6 ,40,stable,0.4 ,19,388.7, 524.9,-0.6, 1.3
831,"Cherokee County          7,8",452.2 ,87,stable,-0.5 ,19,407.9, 500.6,-1.2, 0.2
832,"Union County          7,8",450.7 ,79,stable,-0.5 ,19,405.9, 499.5,-1.0, 0.0
833,"Adair County          7,8",449.5 ,51,stable,0.6 ,19,393.1, 512.8,-0.3, 1.5
834,"Madison County          7,8",448.9 ,89,stable,-0.1 ,19,407.4, 493.8,-0.8, 0.7
835,"Audubon County          7,8",447.7 ,42,stable,0.1 ,19,385.4, 518.7,-0.7, 0.9
836,"Poweshiek County          7,8",447.3 ,114,stable,0.0 ,19,409.5, 488.0,-0.6, 0.5
837,"Chickasaw County          7,8",447.1 ,76,stable,0.2 ,19,401.1, 497.4,-0.3, 0.8
838,"Mitchell County          7,8",446.1 ,70,stable,-0.2 ,19,397.1, 499.9,-0.9, 0.5
839,"Lyon County          7,8",444.5 ,66,stable,0.1 ,19,396.2, 497.3,-0.5, 0.6
840,"Dallas County          7,8",444.5 ,323,stable,-0.4 ,19,422.6, 467.1,-0.8, 0.0
841,"Worth County          7,8",443.8 ,46,stable,0.2 ,19,386.2, 508.5,-0.7, 1.2
842,"Clayton County          7,8",443.3 ,116,stable,-0.3 ,19,405.7, 483.9,-0.8, 0.2
843,"Davis County          7,8",440.2 ,49,stable,0.3 ,19,385.1, 501.4,-0.7, 1.2
844,"Buena Vista County          7,8",438.7 ,104,falling,-0.9 ,19,400.3, 479.8,-1.4, -0.3
845,"Bremer County          7,8",436.6 ,139,stable,-0.4 ,19,403.5, 471.8,-0.9, 0.1
846,"Taylor County          7,8",436.4 ,40,stable,0.1 ,19,373.2, 508.0,-0.7, 1.0
847,"Howard County          7,8",435.8 ,55,stable,0.0 ,19,383.2, 494.0,-0.8, 0.9
848,"Wayne County          7,8",434.4 ,41,stable,-0.4 ,19,372.6, 504.2,-1.4, 0.7
849,"Mahaska County          7,8",427.2 ,123,stable,0.0 ,19,393.0, 463.8,-0.6, 0.7
850,"Sioux County          7,8",424.9 ,163,stable,-0.4 ,19,395.2, 456.2,-0.9, 0.1
851,"Lucas County          7,8",423.3 ,55,falling,-1.7 ,19,372.7, 479.6,-2.9, -0.4
852,"Appanoose County          7,8",419.7 ,81,stable,0.1 ,19,378.1, 465.2,-0.6, 0.9
853,"Louisa County          7,8",414.1 ,60,stable,-0.2 ,19,367.4, 465.4,-1.0, 0.6
854,"Allamakee County          7,8",411.1 ,87,stable,-0.2 ,19,371.0, 454.7,-0.9, 0.6
855,"Jefferson County          7,8",410.4 ,96,stable,0.0 ,19,371.4, 452.7,-0.7, 0.7
856,"Winneshiek County          7,8",403.0 ,113,stable,0.0 ,19,368.9, 439.7,-0.7, 0.6
857,"Wright County          7,8",395.0 ,76,stable,-0.7 ,19,353.4, 440.7,-1.4, 0.0
858,Allen County         6,¶,¶,¶,¶,20,,,,
859,Anderson County         6,¶,¶,¶,¶,20,,,,
860,Atchison County         6,¶,¶,¶,¶,20,,,,
861,Barber County         6,¶,¶,¶,¶,20,,,,
862,Barton County         6,¶,¶,¶,¶,20,,,,
863,Bourbon County         6,¶,¶,¶,¶,20,,,,
864,Brown County         6,¶,¶,¶,¶,20,,,,
865,Butler County         6,¶,¶,¶,¶,20,,,,
